Old URL (genetargeting.com),New URL,Status,Category
/,/,301,Homepage
/search,/search/,301,Search
/knockout-mouse-models,/knockout-mouse-models/,301,Mouse Models
/conventional-knockout-mouse-models,/conventional-knockout-mouse-models/,301,Mouse Models
/conditional-knockout-mouse-models,/conditional-knockout-mouse-models/,301,Mouse Models
/conditional-ko-reporter,/conditional-knockout-mouse-models/,301,Mouse Models - Legacy Variant
/standard-conditional-knockout,/conditional-knockout-mouse-models/,301,Mouse Models - Legacy Variant
/truview-conditional-knockout,/conditional-knockout-mouse-models/,301,Mouse Models - Legacy Variant
/knockin-mouse-models,/knockin-mouse-models/,301,Mouse Models
/cdna-knockin,/cdna-knockin/,301,Mouse Models
/safe-harbor-locus,/safe-harbor-locus/,301,Technology
/rosa26,/rosa26/,301,Technology
/rapid-rosa26-targeting,/rapid-rosa26-targeting/,301,Technology
/inducible-rosa26,/inducible-rosa26/,301,Technology
/fast-mice,/fast-mice/,301,Technology
/humanized-mouse-models,/humanized-mouse-models/,301,Mouse Models
/gene-replacement,/gene-replacement/,301,Mouse Models
/p53-humanized-mouse-models,/humanized-mouse-models/,301,Mouse Models - Consolidated
/bac-to-bac-large-scale-targeting,/bac-to-bac-large-scale-targeting/,301,Technology
/transgenic-mouse-models,/mouse-model-services/,301,Services
/custom-mouse-models,/custom-mouse-models/,301,Mouse Models
/rat-models,/rat-models/,301,Mouse Models
/custom-rabbit-models,/custom-rabbit-models/,301,Mouse Models
/transgenic-animal-models,/custom-animal-models/,301,Mouse Models
/buy-transgenic-mice,/catalog-mouse-models/,301,Catalog
/humanized-immune-checkpoint-mice,/humanized-immune-checkpoint-mice/,301,Catalog
/single-immune-checkpoint-humanized-mice,/single-checkpoint-mice/,301,Catalog
/double-immune-checkpoint-humanized-mice,/double-checkpoint-mice/,301,Catalog
/order-inquiry-catalog-models,/order-catalog-models/,301,Catalog
/humanized-immune-target-mice,/humanized-immune-checkpoint-mice/,301,Catalog - Consolidated
/humanized-catalog-mouse-models,/catalog-mouse-models/,301,Catalog - Consolidated
/point-mutation-mice,/point-mutation-mice/,301,Mouse Models
